# Title: Global Land 12-Month Period Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Date,Anomaly
185012,-0.5
185101,-0.44
185102,-0.41
185103,-0.43
185104,-0.41
185105,-0.39
185106,-0.39
185107,-0.37
185108,-0.38
185109,-0.38
185110,-0.29
185111,-0.29
185112,-0.31
185201,-0.26
185202,-0.29
185203,-0.32
185204,-0.32
185205,-0.3
185206,-0.27
185207,-0.28
185208,-0.28
185209,-0.26
185210,-0.29
185211,-0.27
185212,-0.26
185301,-0.32
185302,-0.34
185303,-0.33
185304,-0.34
185305,-0.33
185306,-0.36
185307,-0.34
185308,-0.36
185309,-0.38
185310,-0.39
185311,-0.4
185312,-0.39
185401,-0.39
185402,-0.36
185403,-0.3
185404,-0.26
185405,-0.27
185406,-0.27
185407,-0.28
185408,-0.28
185409,-0.28
185410,-0.25
185411,-0.21
185412,-0.19
185501,-0.15
185502,-0.13
185503,-0.13
185504,-0.12
185505,-0.11
185506,-0.11
185507,-0.14
185508,-0.15
185509,-0.17
185510,-0.19
185511,-0.23
185512,-0.29
185601,-0.24
185602,-0.22
185603,-0.23
185604,-0.26
185605,-0.29
185606,-0.29
185607,-0.28
185608,-0.31
185609,-0.32
185610,-0.37
185611,-0.33
185612,-0.27
185701,-0.3
185702,-0.35
185703,-0.32
185704,-0.31
185705,-0.32
185706,-0.33
185707,-0.34
185708,-0.31
185709,-0.32
185710,-0.29
185711,-0.31
185712,-0.3
185801,-0.32
185802,-0.29
185803,-0.31
185804,-0.3
185805,-0.31
185806,-0.31
185807,-0.31
185808,-0.31
185809,-0.31
185810,-0.29
185811,-0.31
185812,-0.38
185901,-0.41
185902,-0.4
185903,-0.39
185904,-0.37
185905,-0.31
185906,-0.3
185907,-0.32
185908,-0.3
185909,-0.3
185910,-0.32
185911,-0.3
185912,-0.24
186001,-0.26
186002,-0.3
186003,-0.36
186004,-0.4
186005,-0.46
186006,-0.48
186007,-0.47
186008,-0.48
186009,-0.48
186010,-0.5
186011,-0.52
186012,-0.62
186101,-0.67
186102,-0.69
186103,-0.65
186104,-0.66
186105,-0.67
186106,-0.68
186107,-0.68
186108,-0.69
186109,-0.7
186110,-0.71
186111,-0.68
186112,-0.63
186201,-0.61
186202,-0.61
186203,-0.66
186204,-0.67
186205,-0.67
186206,-0.66
186207,-0.68
186208,-0.68
186209,-0.69
