# Title: Global Ocean 12-Month Period Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Date,Anomaly
185012,0
185101,0.01
185102,0
185103,0.01
185104,0
185105,0
185106,0
185107,0.01
185108,0.04
185109,0.05
185110,0.04
185111,0.05
185112,0.06
185201,0.05
185202,0.05
185203,0.05
185204,0.07
185205,0.08
185206,0.08
185207,0.08
185208,0.06
185209,0.07
185210,0.08
185211,0.07
185212,0.08
185301,0.09
185302,0.11
185303,0.12
185304,0.12
185305,0.11
185306,0.11
185307,0.12
185308,0.12
185309,0.11
185310,0.09
185311,0.08
185312,0.07
185401,0.06
185402,0.06
185403,0.05
185404,0.05
185405,0.05
185406,0.04
185407,0.02
185408,0.01
185409,0.03
185410,0.03
185411,0.03
185412,0.02
185501,0.02
185502,0.01
185503,0.02
185504,0.01
185505,0
185506,-0.01
185507,-0.01
185508,-0.01
185509,-0.02
185510,-0.02
185511,0
185512,0.02
185601,0.03
185602,0.03
185603,0.03
185604,0.02
185605,0.03
185606,0.03
185607,0.03
185608,0.01
185609,0.01
185610,-0.01
185611,-0.04
185612,-0.07
185701,-0.09
185702,-0.11
185703,-0.13
185704,-0.14
185705,-0.16
185706,-0.17
185707,-0.17
185708,-0.17
185709,-0.16
185710,-0.16
185711,-0.15
185712,-0.15
185801,-0.15
185802,-0.14
185803,-0.12
185804,-0.11
185805,-0.1
185806,-0.09
185807,-0.08
185808,-0.06
185809,-0.06
185810,-0.05
185811,-0.04
185812,-0.04
185901,-0.03
185902,-0.02
185903,-0.02
185904,-0.01
185905,0
185906,0
185907,-0.02
185908,-0.02
185909,-0.02
185910,-0.02
185911,-0.02
185912,0.01
186001,0.01
186002,0.02
186003,0.01
186004,0.01
186005,0.01
186006,0
186007,0.01
186008,0
186009,0.02
186010,0
186011,0
186012,-0.02
186101,-0.03
186102,-0.07
186103,-0.08
186104,-0.07
186105,-0.09
186106,-0.09
186107,-0.09
186108,-0.11
186109,-0.12
186110,-0.09
186111,-0.09
186112,-0.08
186201,-0.09
186202,-0.07
186203,-0.06
186204,-0.06
186205,-0.04
186206,-0.04
186207,-0.05
186208,-0.05
186209,-0.06
186210,-0.08
186211,-0.08
186212,-0.11
186301,-0.11
186302,-0.11
186303,-0.11
186304,-0.13
186305,-0.13
186306,-0.14
186307,-0.15
186308,-0.15
186309,-0.15
186310,-0.16
186311,-0.16
186312,-0.13
186401,-0.13
186402,-0.15
186403,-0.16
186404,-0.15
186405,-0.14
186406,-0.12
186407,-0.11
186408,-0.11
186409,-0.09
186410,-0.07
186411,-0.06
186412,-0.06
186501,-0.03
186502,0.01
186503,0.04
186504,0.05
186505,0.05
186506,0.06
186507,0.08
186508,0.1
186509,0.12
186510,0.14
186511,0.12
186512,0.11
186601,0.13
186602,0.12
186603,0.13
186604,0.11
186605,0.09
186606,0.1
186607,0.09
186608,0.09
186609,0.08
186610,0.05
186611,0.06
186612,0.05
186701,0.02
186702,-0.01
186703,-0.02
186704,-0.01
186705,0.01
186706,-0.01
186707,-0.02
186708,-0.03
186709,-0.04
186710,-0.04
186711,-0.05
186712,-0.05
186801,-0.06
186802,-0.03
186803,-0.04
186804,-0.04
186805,-0.05
186806,-0.06
186807,-0.05
186808,-0.04
186809,-0.04
186810,-0.02
186811,-0.01
186812,0.02
186901,0.04
186902,0.04
186903,0.04
186904,0.05
186905,0.07
186906,0.07
186907,0.06
186908,0.06
186909,0.05
186910,0.04
186911,0.02
186912,0
187001,0
187002,-0.01
187003,-0.01
187004,-0.01
187005,-0.04
187006,-0.04
187007,-0.03
187008,-0.03
187009,-0.02
187010,-0.03
187011,-0.03
187012,-0.02
187101,-0.03
187102,-0.03
187103,-0.02
187104,-0.02
187105,-0.01
187106,0
187107,0
187108,0
