/* DATA DESCRIPTION:
Citation:	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): Bulk stable-isotope measurements of ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.833212, 
	In supplement to: Littler, K et al. (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
Further details:	Lourens, Lucas Joost; Sluijs, Appy; Kroon, Dick; Zachos, James C; Thomas, Ellen; Röhl, Ursula; Raffi, Isabella (2005): Astronomical pacing of late Palaeocene to early Eocene global warming events. Nature, 435(23), 1083-1087, https://doi.org/10.1038/nature03814
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, https://doi.org/10.1016/j.palaeo.2007.09.016
	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
	Zachos, James C; Röhl, Ursula; Schellenberg, Stephen A; Sluijs, Appy; Hodell, David A; Kelly, Daniel Clay; Thomas, Ellen; Nicolo, Micah J; Raffi, Isabella; Lourens, Lucas Joost; McCarren, H; Kroon, Dick (2005): Rapid Acidification of the Ocean During the Paleocene-Eocene Thermal Maximum. Science, 308(5728), 1611-1615, https://doi.org/10.1126/science.1109004
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 107.490 m * MAXIMUM DEPTH, sediment/rock: 184.980 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Comment:	DEPTH, sediment/rock = Depth (mcd).
	New data for this study was collected at MARUM ("Littler et al., 2014 (MARUM)"), and is combined with data from existing studies (see "data source" column) to give one continuous dataset. All values relative to VPDB.
	Age model is based on option 1 of Westerhold et al., 2008 (W08), extended in this study to encompass depths 103-113 mcd.
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	δ13C [‰ PDB] (δ13C) * PI: Littler, Kate (k.littler@exeter.ac.uk) * COMMENT: Bulk, relative to VPDB
	δ18O [‰] (δ18O) * PI: Littler, Kate (k.littler@exeter.ac.uk) * COMMENT: Bulk, relative to VPDB
	Reference/source (Reference) * PI: Littler, Kate (k.littler@exeter.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8046 data points
*/
Depth sed [m]	Age [ka BP]	δ13C [‰ PDB]	δ18O [‰]	Reference
107.490	52534.000	1.230	-0.610	Zachos et al., 2010
107.500	52535.862	1.380	-0.470	Zachos et al., 2010
107.510	52537.724	1.250	-0.550	Zachos et al., 2010
107.540	52543.310	1.280	-0.430	Zachos et al., 2010
107.550	52545.172	1.280	-0.430	Zachos et al., 2010
107.560	52547.034	1.230	-0.430	Zachos et al., 2010
107.570	52548.897	1.230	-0.470	Zachos et al., 2010
107.580	52550.759	1.220	-0.480	Zachos et al., 2010
107.590	52552.621	1.200	-0.510	Zachos et al., 2010
107.600	52554.483	1.180	-0.500	Zachos et al., 2010
107.610	52556.345	1.090	-0.680	Zachos et al., 2010
107.620	52558.207	1.160	-0.590	Zachos et al., 2010
107.630	52560.069	1.090	-0.640	Zachos et al., 2010
107.640	52561.931	1.090	-0.700	Zachos et al., 2010
107.650	52563.793	1.040	-0.740	Zachos et al., 2010
107.660	52565.655	1.070	-0.810	Zachos et al., 2010
107.670	52567.517	1.070	-0.740	Zachos et al., 2010
107.690	52571.241	1.110	-0.680	Zachos et al., 2010
107.700	52573.103	1.100	-0.790	Zachos et al., 2010
107.710	52574.966	1.070	-0.820	Zachos et al., 2010
107.720	52576.828	1.070	-0.840	Zachos et al., 2010
107.730	52578.690	1.060	-0.850	Zachos et al., 2010
107.740	52580.552	1.070	-0.860	Zachos et al., 2010
107.750	52582.414	1.070	-0.920	Zachos et al., 2010
107.760	52584.276	1.110	-0.880	Zachos et al., 2010
107.770	52586.138	1.090	-0.840	Zachos et al., 2010
107.780	52588.000	1.140	-0.910	Zachos et al., 2010
107.790	52589.172	1.160	-0.780	Zachos et al., 2010
107.800	52590.345	1.130	-0.850	Zachos et al., 2010
107.810	52591.517	1.200	-0.840	Zachos et al., 2010
107.820	52592.690	1.190	-0.840	Zachos et al., 2010
107.830	52593.862	1.290	-0.760	Zachos et al., 2010
108.050	52619.655	1.230	-0.600	Zachos et al., 2010
108.080	52623.172	1.240	-0.590	Zachos et al., 2010
108.110	52626.690	1.260	-0.610	Zachos et al., 2010
108.140	52630.207	1.220	-0.680	Zachos et al., 2010
108.170	52633.724	1.200	-0.660	Zachos et al., 2010
108.200	52637.241	1.180	-0.500	Zachos et al., 2010
108.230	52640.759	1.170	-0.680	Zachos et al., 2010
108.260	52644.276	1.120	-0.850	Zachos et al., 2010
108.290	52647.793	1.010	-0.970	Zachos et al., 2010
108.320	52651.310	1.000	-1.010	Zachos et al., 2010
108.350	52654.828	1.170	-0.870	Zachos et al., 2010
108.380	52658.824	1.210	-0.740	Zachos et al., 2010
108.410	52663.059	1.200	-0.760	Zachos et al., 2010
108.440	52667.294	1.290	-0.620	Zachos et al., 2010
108.470	52671.529	1.270	-0.740	Zachos et al., 2010
108.500	52675.765	1.280	-0.640	Zachos et al., 2010
108.530	52680.000	1.270	-0.750	Zachos et al., 2010
108.560	52684.235	1.230	-0.650	Zachos et al., 2010
108.590	52688.471	1.130	-0.570	Zachos et al., 2010
108.620	52692.706	1.080	-0.620	Zachos et al., 2010
108.650	52696.941	1.160	-0.620	Zachos et al., 2010
108.680	52701.176	1.260	-0.590	Zachos et al., 2010
108.710	52705.412	1.360	-0.440	Zachos et al., 2010
108.740	52709.647	1.400	-0.450	Zachos et al., 2010
108.770	52713.882	1.420	-0.390	Zachos et al., 2010
108.800	52718.118	1.300	-0.520	Zachos et al., 2010
108.830	52722.353	1.260	-0.630	Zachos et al., 2010
108.860	52726.588	1.260	-0.560	Zachos et al., 2010
108.890	52730.824	1.270	-0.510	Zachos et al., 2010
108.920	52735.059	1.400	-0.480	Zachos et al., 2010
108.950	52739.294	1.240	-0.580	Zachos et al., 2010
108.980	52743.529	1.190	-0.380	Zachos et al., 2010
