/* DATA DESCRIPTION:
Citation:	Barnet, James S K; Littler, Kate; Westerhold, Thomas; Kroon, Dick; Leng, Melanie J; Bailey, Ian; Röhl, Ursula; Zachos, James C (2019): Late Maastrichtian-early Eocene bulk sediment stable carbon and oxygen isotope records from ODP Site 208-1262, South Atlantic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.903507, 
	In supplement to: Barnet, JSK et al. (2019): A High-Fidelity Benthic Stable Isotope Record of Late Cretaceous–Early Eocene Climate Change and Carbon-Cycling. Paleoceanography and Paleoclimatology, 34(4), 672-691, https://doi.org/10.1029/2019PA003556
Related to:	Kroon, Dick; Zachos, James C; ODP Leg 208 Shipboard Scientific Party (2007): Leg 208 synthesis: Cenozoic climate cycles and excursions. In: Kroon, D.; Zachos, J.C.; Richter, C. (eds.), Proceedings of the Ocean Drilling Program, 208 Scientific Results, Proceedings of the Ocean Drilling Program, 208, Ocean Drilling Program, 208, 1-55, https://doi.org/10.2973/odp.proc.sr.208.201.2007
	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
	Lourens, Lucas Joost; Sluijs, Appy; Kroon, Dick; Zachos, James C; Thomas, Ellen; Röhl, Ursula; Raffi, Isabella (2005): Astronomical pacing of late Palaeocene to early Eocene global warming events. Nature, 435(23), 1083-1087, https://doi.org/10.1038/nature03814
	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 107.49 m * MAXIMUM DEPTH, sediment/rock: 236.07 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: mcd
	δ13C, bulk carbonate [‰ PDB] (δ13C bulk carb) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	δ18O, bulk carbonate [‰ PDB] (δ18O bulk carb) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	AGE [ka BP] (Age) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	Reference/source (Reference) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	13088 data points
*/
Depth sed [m]	δ13C bulk carb [‰ PDB]	δ18O bulk carb [‰ PDB]	Age [ka BP]	Reference
107.49	1.227	-0.607	52905	Zachos et al. (2010)
107.50	1.381	-0.473	52907	Zachos et al. (2010)
107.51	1.253	-0.551	52909	Zachos et al. (2010)
107.54	1.277	-0.427	52916	Zachos et al. (2010)
107.55	1.282	-0.428	52918	Zachos et al. (2010)
107.56	1.231	-0.429	52920	Zachos et al. (2010)
107.57	1.234	-0.470	52922	Zachos et al. (2010)
107.58	1.216	-0.476	52924	Zachos et al. (2010)
107.59	1.199	-0.513	52926	Zachos et al. (2010)
107.60	1.176	-0.499	52929	Zachos et al. (2010)
107.61	1.091	-0.684	52931	Zachos et al. (2010)
107.62	1.161	-0.593	52933	Zachos et al. (2010)
107.63	1.090	-0.641	52935	Zachos et al. (2010)
107.64	1.090	-0.698	52937	Zachos et al. (2010)
107.65	1.044	-0.737	52939	Zachos et al. (2010)
107.66	1.071	-0.806	52941	Zachos et al. (2010)
107.67	1.069	-0.743	52944	Zachos et al. (2010)
107.69	1.110	-0.685	52948	Zachos et al. (2010)
107.70	1.099	-0.795	52950	Zachos et al. (2010)
107.71	1.070	-0.816	52952	Zachos et al. (2010)
107.72	1.066	-0.835	52954	Zachos et al. (2010)
107.73	1.064	-0.852	52956	Zachos et al. (2010)
107.74	1.071	-0.861	52958	Zachos et al. (2010)
107.75	1.072	-0.917	52961	Zachos et al. (2010)
107.76	1.113	-0.885	52963	Zachos et al. (2010)
107.77	1.085	-0.841	52965	Zachos et al. (2010)
107.78	1.141	-0.907	52967	Zachos et al. (2010)
107.79	1.158	-0.785	52968	Zachos et al. (2010)
107.80	1.128	-0.852	52970	Zachos et al. (2010)
107.81	1.199	-0.843	52971	Zachos et al. (2010)
107.82	1.192	-0.841	52972	Zachos et al. (2010)
107.83	1.292	-0.764	52974	Zachos et al. (2010)
108.05	1.234	-0.600	53003	Zachos et al. (2010)
108.08	1.237	-0.588	53007	Zachos et al. (2010)
108.11	1.264	-0.611	53011	Zachos et al. (2010)
108.14	1.220	-0.675	53015	Zachos et al. (2010)
108.17	1.204	-0.665	53019	Zachos et al. (2010)
108.20	1.177	-0.501	53023	Zachos et al. (2010)
108.23	1.166	-0.684	53027	Zachos et al. (2010)
108.26	1.119	-0.849	53031	Zachos et al. (2010)
108.29	1.005	-0.966	53035	Zachos et al. (2010)
108.32	1.004	-1.009	53039	Zachos et al. (2010)
108.35	1.167	-0.869	53043	Zachos et al. (2010)
108.38	1.214	-0.741	53046	Zachos et al. (2010)
108.41	1.202	-0.757	53049	Zachos et al. (2010)
108.44	1.291	-0.623	53051	Zachos et al. (2010)
108.47	1.268	-0.739	53054	Zachos et al. (2010)
108.50	1.284	-0.640	53057	Zachos et al. (2010)
108.53	1.268	-0.749	53060	Zachos et al. (2010)
108.56	1.231	-0.651	53062	Zachos et al. (2010)
108.59	1.130	-0.565	53065	Zachos et al. (2010)
108.62	1.076	-0.616	53068	Zachos et al. (2010)
108.65	1.161	-0.621	53071	Zachos et al. (2010)
108.68	1.257	-0.591	53074	Zachos et al. (2010)
108.71	1.362	-0.437	53076	Zachos et al. (2010)
108.74	1.402	-0.446	53079	Zachos et al. (2010)
108.77	1.418	-0.388	53082	Zachos et al. (2010)
108.80	1.299	-0.524	53085	Zachos et al. (2010)
108.83	1.258	-0.633	53087	Zachos et al. (2010)
108.86	1.259	-0.559	53090	Zachos et al. (2010)
108.89	1.268	-0.506	53093	Zachos et al. (2010)
108.92	1.398	-0.479	53096	Zachos et al. (2010)
108.95	1.243	-0.576	53098	Zachos et al. (2010)
108.98	1.187	-0.381	53101	Zachos et al. (2010)
109.01	1.119	-0.644	53104	Zachos et al. (2010)
109.04	1.172	-0.578	53106	Zachos et al. (2010)
109.07	1.231	-0.526	53114	Zachos et al. (2010)
109.10	1.224	-0.542	53121	Zachos et al. (2010)
109.13	1.114	-0.638	53128	Zachos et al. (2010)
