/* DATA DESCRIPTION:
Citation:	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): (Figure 2) Stable carbon and oxygen isotope records of ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.756583, 
	Supplement to: Zachos, JC et al. (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
Abstract:	The upper Paleocene and lower Eocene are marked by several prominent (> 1 per mill) carbon isotope (d13C) excursions (CIE) that coincide with transient global warmings, or thermal maxima, including the Paleocene-Eocene Thermal Maximum (PETM). The CIE, which are recorded mainly in marine sedimentary sequences, have also been identified in continental sequences, occurred episodically, and yet appear to be paced or triggered by orbital forcing. To constrain the timing and scale of the CIE relative to long-term baseline variability, we have constructed a 4.52 million year (myr) long, high-resolution (~ 3 kyr) bulk sediment carbon isotope record spanning the lower Eocene to upper Paleocene (C25r-C24n) from a pelagic sediment section recovered at ODP Site 1262 in the southeast Atlantic. This section, which was orbitally-tuned utilizing high-resolution core log physical property and geochemical records, is the most stratigraphically complete upper Paleocene to lower Eocene sequence recovered to date. Time-series analysis of the carbon isotope record along with a high-resolution Fe intensity record obtained by XRF core scanner reveal cyclicity with variance concentrated primarily in the precession (21 kyr) and eccentricity bands (100 and 400-kyr) throughout the upper Paleocene-lower Eocene. In general, minima in d13C correspond with peaks in Fe (i.e., carbonate dissolution), both of which appear to be in phase with maxima in eccentricity. This covariance is consistent with excess oceanic uptake of isotopically depleted carbon resulting in lower carbonate saturation during periods of high eccentricity. This relationship includes all late Paleocene and early Eocene CIE confirming pacing by orbital forcing. The lone exception is the PETM, which appears to be out of phase with the 400-kyr cycle, though possibly in phase with the 100-kyr cycle, reinforcing the notion that a mechanism other than orbital forcing and/or an additional source of carbon is required to account for the occurrence and unusual scale of this event.
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: https://www.marum.de/en/)
	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 96.27 m * MAXIMUM DEPTH, sediment/rock: 142.65 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Comment:	The isotope records are composites of the splice from the A and B holes of Site 1262, and include published data for the PETM and ETM-2 (Lourens et al., 2005; Zachos et al., 2005).
	See also Westerhold et al. (2007) doi:10.1594/PANGAEA.603177
	Depth, sediment are meters below seafloor (mbsf)
Parameter(s):	Sample code/label (Sample label) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Intercore correlation
	Age, relative [ka] (Age rel) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu)
	Comment (Comment) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * COMMENT: Hole
	δ13C, carbonate [‰ PDB] (δ13C carb) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Mass spectrometry (MS)
	δ18O, carbonate [‰ PDB] (δ18O carb) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Mass spectrometry (MS)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10864 data points
*/
Sample label	Depth sed [m]	Depth comp [mcd]	Age rel [ka]	Comment	δ13C carb [‰ PDB]	δ18O carb [‰ PDB]
208-1262B-12H-2,1-2	97.41	108.05	2918	B	1.23	-0.60
208-1262B-12H-2,4-6	97.44	108.08	2913	B	1.24	-0.59
208-1262B-12H-2,7-8	97.47	108.11	2908	B	1.26	-0.61
208-1262B-12H-2,10-11	97.50	108.14	2902	B	1.22	-0.68
208-1262B-12H-2,13-14	97.53	108.17	2896	B	1.20	-0.66
208-1262B-12H-2,16-17	97.56	108.20	2889	B	1.18	-0.50
208-1262B-12H-2,19-20	97.59	108.23	2882	B	1.17	-0.68
208-1262B-12H-2,22-23	97.62	108.26	2877	B	1.12	-0.85
208-1262B-12H-2,25-26	97.65	108.29	2871	B	1.00	-0.97
208-1262B-12H-2,28-29	97.68	108.32	2866	B	1.00	-1.01
208-1262B-12H-2,31-32	97.71	108.35	2862	B	1.17	-0.87
208-1262B-12H-2,34-35	97.74	108.38	2857	B	1.21	-0.74
208-1262B-12H-2,37-38	97.77	108.41	2853	B	1.20	-0.76
208-1262B-12H-2,40-41	97.80	108.44	2848	B	1.29	-0.62
208-1262B-12H-2,43-44	97.83	108.47	2844	B	1.27	-0.74
208-1262B-12H-2,46-47	97.86	108.50	2839	B	1.28	-0.64
208-1262B-12H-2,49-50	97.89	108.53	2835	B	1.27	-0.75
208-1262B-12H-2,52-53	97.92	108.56	2831	B	1.23	-0.65
208-1262B-12H-2,55-56	97.95	108.59	2827	B	1.13	-0.56
208-1262B-12H-2,58-59	97.98	108.62	2824	B	1.08	-0.62
208-1262B-12H-2,61-62	98.01	108.65	2820	B	1.16	-0.62
208-1262B-12H-2,64-65	98.04	108.68	2815	B	1.26	-0.59
208-1262B-12H-2,67-68	98.07	108.71	2810	B	1.36	-0.44
208-1262B-12H-2,70-71	98.10	108.74	2804	B	1.40	-0.45
208-1262B-12H-2,73-74	98.13	108.77	2799	B	1.42	-0.39
208-1262B-12H-2,76-77	98.16	108.80	2795	B	1.30	-0.52
208-1262B-12H-2,79-80	98.19	108.83	2792	B	1.26	-0.63
208-1262B-12H-2,82-83	98.22	108.86	2789	B	1.26	-0.56
208-1262B-12H-2,85-86	98.25	108.89	2786	B	1.27	-0.51
208-1262B-12H-2,88-89	98.28	108.92	2783	B	1.40	-0.48
208-1262B-12H-2,91-92	98.31	108.95	2780	B	1.24	-0.58
208-1262B-12H-2,94-95	98.34	108.98	2777	B	1.19	-0.38
208-1262B-12H-2,97-98	98.37	109.01	2774	B	1.12	-0.64
208-1262B-12H-2,100-101	98.40	109.04	2769	B	1.17	-0.58
208-1262B-12H-2,103-104	98.43	109.07	2764	B	1.23	-0.53
208-1262B-12H-2,106-107	98.46	109.10	2759	B	1.22	-0.54
208-1262B-12H-2,109-110	98.49	109.13	2754	B	1.11	-0.64
208-1262B-12H-2,112-113	98.52	109.16	2750	B	1.08	-0.69
208-1262B-12H-2,115-116	98.55	109.19	2746	B	1.09	-0.63
208-1262B-12H-2,118-119	98.58	109.22	2742	B	1.24	-0.49
208-1262B-12H-2,121-122	98.61	109.25	2737	B	1.25	-0.46
208-1262B-12H-2,124-125	98.64	109.28	2733	B	1.28	-0.44
208-1262B-12H-2,127-128	98.67	109.31	2730	B	1.22	-0.52
208-1262B-12H-2,130-131	98.70	109.34	2726	B	1.19	-0.53
208-1262B-12H-2,133-134	98.73	109.37	2722	B	1.17	-0.59
208-1262B-12H-2,136-137	98.76	109.40	2719	B	1.09	-0.67
208-1262B-12H-2,142-143	98.82	109.46	2712	B	0.92	-0.06
208-1262B-12H-2,145-146	98.85	109.49	2707	B	1.00	-0.64
208-1262B-12H-2,148-149	98.88	109.52	2702	B	1.17	-0.53
208-1262B-12H-3,1-2	98.91	109.55	2697	B	1.28	-0.35
208-1262B-12H-3,4-5	98.94	109.58	2692	B	1.26	-0.26
208-1262B-12H-3,7-8	98.97	109.61	2685	B	1.12	-0.46
208-1262B-12H-3,10-11	99.00	109.64	2679	B	1.12	-0.44
208-1262B-12H-3,13-14	99.03	109.67	2673	B	1.00	-0.76
208-1262B-12H-3,16-17	99.06	109.70	2667	B	0.96	-0.85
208-1262B-12H-3,19-20	99.09	109.73	2662	B	1.02	-0.87
208-1262B-12H-3,22-23	99.12	109.76	2658	B	1.10	-0.81
208-1262B-12H-3,25-26	99.15	109.79	2653	B	1.20	-0.73
208-1262B-12H-3,28-29	99.18	109.82	2648	B	1.14	-0.89
208-1262B-12H-3,31-32	99.21	109.85	2645	B	1.14	-0.69
208-1262B-12H-3,34-35	99.24	109.88	2641	B	1.07	-0.84
208-1262B-12H-3,37-38	99.27	109.91	2638	B	1.19	-0.81
208-1262B-12H-3,40-41	99.30	109.94	2634	B	1.26	-0.75
